pair,entry_date,exit_date,return_before_cost,direction,converged,days_open,window_id
"('AEP', 'DTE')",2016-01-13,2016-03-01,0.030196749009463453,long_A_short_B,True,48,0
"('AEP', 'DTE')",2016-03-18,2016-06-30,-0.03237858907070601,long_A_short_B,False,104,0
"('DTE', 'ES')",2016-01-07,2016-01-12,0.011569476369170939,long_A_short_B,True,5,0
"('DTE', 'ES')",2016-01-14,2016-06-30,-0.06441590280529241,short_A_long_B,False,168,0
"('DTE', 'PNW')",2016-01-19,2016-02-03,0.0259343020314593,short_A_long_B,True,15,0
"('DTE', 'PNW')",2016-02-29,2016-06-30,0.009332929578488303,long_A_short_B,False,122,0
"('ES', 'PNW')",2016-01-26,2016-02-03,0.03149894851425916,short_A_long_B,True,8,0
"('ES', 'PNW')",2016-02-08,2016-06-30,-0.06816023203079902,long_A_short_B,False,143,0
"('AEP', 'SO')",2016-01-11,2016-01-20,0.021295071977718516,short_A_long_B,True,9,0
"('AEP', 'SO')",2016-02-03,2016-02-12,0.03284960341622278,short_A_long_B,True,9,0
"('AEP', 'SO')",2016-03-01,2016-06-30,-0.003273090336681328,short_A_long_B,False,121,0
"('AEP', 'ES')",2016-01-25,2016-02-08,0.04436406768632528,long_A_short_B,True,14,0
"('AEP', 'ES')",2016-04-06,2016-06-30,-0.015606180440909778,short_A_long_B,False,85,0
"('PNW', 'SO')",2016-01-11,2016-01-19,0.02194037595521592,short_A_long_B,True,8,0
"('PNW', 'SO')",2016-02-16,2016-02-24,0.02461632924286894,long_A_short_B,True,8,0
"('PNW', 'SO')",2016-03-01,2016-06-30,-0.061891245937177874,short_A_long_B,False,121,0
"('PRU', 'RF')",2016-03-01,2016-04-28,0.08079653244328089,short_A_long_B,True,58,0
"('PRU', 'RF')",2016-05-26,2016-06-30,0.02870057809748905,long_A_short_B,False,35,0
"('DTE', 'SO')",2016-01-12,2016-06-30,-0.0846994291479708,short_A_long_B,False,170,0
"('TFC', 'WFC')",2016-02-01,2016-02-10,0.045092730807094195,long_A_short_B,True,9,0
